,FOLIO,GASTO,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT,Columna1
2706,738,COMPRA,1.0,500.0,80.0,0.0,0.0,580.0,580.0,0.0
2707,16177,G VTA,1.0,3405.18,544.83,0.0,0.0,3950.0099999999998,3950.01,0.0
2708,17015,G VTA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2709,,COMPRA,1.0,102.6,16.42,0.0,0.0,119.02,119.02,0.0
2710,3565964,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2711,67634,COMPRA,1.0,3960.0,633.6,0.0,0.0,4593.6,4593.6,0.0
2712,30563,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2713,17,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2714,3659,COMPRA,1.0,1192.5,190.8,0.0,0.0,1383.3,1383.3,0.0
2715,2248,G VTA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2716,42642851,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2717,2704,COMPRA,1.0,7500.0,1200.0,0.0,0.0,8700.0,8700.0,0.0
2718,846,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2719,69538,COMPRA,1.0,13475.0,2156.0,0.0,0.0,15631.0,15631.0,0.0
2720,39221898,G FINA,1.0,177.68,28.42,0.0,0.0,206.10000000000002,206.1,0.0
2721,47972,COMPRA,1.0,564.0,90.24,0.0,0.0,654.24,654.24,0.0
2722,27,G ADMON,1.0,9600.0,1536.0,0.0,0.0,11136.0,11136.0,0.0
2723,,G ADMON,1.0,1436.8600000000001,229.89,0.0,0.0,1666.75,1666.75,0.0
2724,4024,COMPRA,1.0,7760.0,1241.6,0.0,0.0,9001.6,9001.6,0.0
2725,67691,COMPRA,1.0,4341.8,694.69,0.0,0.0,5036.49,5036.49,0.0
2726,1034,COMPRA,1.0,602.25,96.36,0.0,0.0,698.61,698.61,0.0
2727,483421,G ADMON,1.0,1955.0,312.8,0.0,0.0,2267.8,2267.8,0.0
2728,3663,COMPRA,1.0,2547.1,407.54,0.0,0.0,2954.64,2954.64,0.0
2729,30,G VTA,1.0,56.47,9.04,0.0,0.0,65.50999999999999,65.51,0.0
2730,8811090280022099,G FINA,1.0,2472.09,0.0,0.0,0.0,2472.09,2472.09,0.0
2731,2742,G VTA,1.0,79.32,12.69,0.0,0.0,92.00999999999999,92.01,0.0
2732,4197,G VTA,1.0,34638.22,5542.12,0.0,0.0,40180.340000000004,40180.34,0.0
2733,68,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2734,1369,COMPRA,1.0,1176.73,188.28,0.0,0.0,1365.01,1365.01,0.0
2735,5804,G VTA,1.0,327.59000000000003,52.41,0.0,0.0,380.0,380.0,0.0
2736,353,G VTA,1.0,3200.0,512.0,0.0,0.0,3712.0,3712.0,0.0
2737,41610,COMPRA,1.0,180.0,28.8,0.0,0.0,208.8,208.8,0.0
2738,3581,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2739,39276675,G FINA,1.0,49.2,7.87,0.0,0.0,57.07,57.07,0.0
2740,0184,COMPRA,1.0,1025.86,164.14,0.0,0.0,1190.0,1190.0,0.0
2741,,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2742,,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2743,3666,COMPRA,1.0,1227.1,196.34,0.0,0.0,1423.4399999999998,1423.44,0.0
2744,78617,COMPRA,1.0,1373.0,219.68,0.0,0.0,1592.68,1592.68,0.0
2745,46269,COMPRA,1.0,288.93,46.23,0.0,0.0,335.16,335.16,0.0
2746,179848,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2747,2012,COMPRA,1.0,928.5,148.56,0.0,0.0,1077.06,1077.06,0.0
2748,3839,COMPRA,1.0,1130.0,180.8,0.0,0.0,1310.8,1310.8,0.0
2749,39290612,G FINA,1.0,109.15,17.46,0.0,0.0,126.61000000000001,126.61,0.0
2750,25265,COMPRA,1.0,4000.0,640.0,0.0,0.0,4640.0,4640.0,0.0
2751,25266,COMPRA,1.0,4000.0,640.0,0.0,0.0,4640.0,4640.0,0.0
2752,67776,COMPRA,1.0,1900.0,304.0,0.0,0.0,2204.0,2204.0,0.0
2753,67782,COMPRA,1.0,44.0,7.04,0.0,0.0,51.04,51.04,0.0
2754,30714,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2755,3930975,G VTA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2756,5352,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2757,3667,COMPRA,1.0,710.0,113.6,0.0,0.0,823.6,823.6,0.0
2758,MAT_1462_00001,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2759,2096,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2760,2097,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2761,78730,COMPRA,1.0,10542.48,1686.8,0.0,0.0,12229.279999999999,12229.28,0.0
2762,113,G ADMON,1.0,11098.45,1775.75,0.0,665.91,12208.29,12208.29,0.0
2763,3772555,N/D,1.0,1112.07,177.93,0.0,0.0,0.0,1451.05,1451.05
2764,2691,COMPRA,1.0,1112.07,177.93,0.0,0.0,1290.0,1290.0,0.0
2765,44,G ADMON,1.0,14366.62,2298.66,0.0,862.0,15803.279999999999,15803.28,0.0
2766,8077,G VTA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2767,5675,G VTA,1.0,15000.0,2400.0,0.0,0.0,17400.0,17400.0,0.0
2768,0161269219,G ADMON,1.0,2755.46,440.89,0.0,0.0,3196.35,3196.35,0.0
2769,2433,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2770,17227,COMPRA,1.0,84.07,13.45,0.0,0.0,97.52,97.52,0.0
2771,464,G VTA,1.0,290.0,0.0,0.0,0.0,290.0,290.0,0.0
2772,99072,G VTA,1.0,1733.1,277.31,0.0,0.0,2010.4099999999999,2010.41,0.0
2773,565769,G VTA,1.0,2780.0,444.8,0.0,0.0,3224.8,3224.8,0.0
2774,135399,G VTA,1.0,-301.72,-48.28,0.0,0.0,-350.0,-350.0,0.0
2775,000001022,G ADMON,1.0,4670.43,25.26,0.0,0.0,4695.6900000000005,4695.69,0.0
2776,819,COMPRA,1.0,205.6,32.9,0.0,0.0,238.5,238.5,0.0
2777,56,G VTA,1.0,19492.02,3118.72,0.0,1169.52,21441.22,21441.22,0.0
2778,4083,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2779,3831,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2780,6271186,G VTA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2781,5355,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2782,3773927,N/D,1.0,20568.0,90.88,0.0,0.0,0.0,199.0,199.0
2783,1141575,G VTA,1.0,20568.0,90.88,0.0,0.0,20658.88,20658.88,0.0
2784,83,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2785,849,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2786,2441,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2787,271,COMPRA,1.0,179.27,28.68,0.0,0.0,207.95000000000002,207.95,0.0
2788,18,G ADMON,1.0,28000.0,4480.0,2800.0,2986.68,26693.32,26693.32,0.0
2789,13420,COMPRA,1.0,179.55,28.73,0.0,0.0,208.28,208.28,0.0
2790,235,G ADMON,1.0,5200.0,832.0,0.0,0.0,6032.0,6032.0,0.0
2791,39328023,G FINA,1.0,241.86,38.7,0.0,0.0,280.56,280.56,0.0
2792,39354417,G FINA,1.0,144.7,23.15,0.0,0.0,167.85,167.85,0.0
2793,1132,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2794,4112,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2795,270624,COMPRA,1.0,165.52,26.48,0.0,0.0,192.0,192.0,0.0
2796,78924,COMPRA,1.0,7894.0,1263.04,0.0,0.0,9157.04,9157.04,0.0
2797,100490,COMPRA,1.0,108.0,0.0,0.0,0.0,108.0,108.0,0.0
2798,4063,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2799,4064,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,616421,G FINA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2801,1013750,G VTA,1.0,15957.120689655172,2553.1393103448277,0.0,0.0,18510.26,18510.26,0.0
2802,0001010100750847116902,G FINA,1.0,490.0,78.4,0.0,0.0,568.4,568.4,0.0
2803,0001010100752163714102,G FINA,1.0,315.0,50.4,0.0,0.0,365.4,365.4,0.0
2804,199137,G VTA,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6,0.0
2805,199138,G VTA,1.0,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3,0.0
2806,420201001898904,G FINA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2807,420201001898904,G FINA,21.2508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2808,4069,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2809,4074,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2810,211,COMPRA,1.0,85.78,13.72,0.0,0.0,99.5,99.5,0.0
2811,2588,G VTA,1.0,15016.96,600.68,0.0,0.0,15617.64,15617.64,0.0
2812,13444,COMPRA,1.0,259.3,41.49,0.0,0.0,300.79,300.79,0.0
2813,13446,COMPRA,1.0,181.8,29.09,0.0,0.0,210.89000000000001,210.89,0.0
2814,159896,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,97.8,97.8
2815,,G ADMON,1.0,473.28,75.73,0.0,0.0,549.01,549.01,0.0
2816,,G ADMON,1.0,2182.4900000000002,349.2,0.0,0.0,2531.69,2531.69,0.0
2817,73584,COMPRA,1.0,674.0,107.84,0.0,0.0,781.84,781.84,0.0
2818,67887,COMPRA,1.0,4306.02,688.96,0.0,0.0,4994.9800000000005,4994.98,0.0
2819,498239,G ADMON,1.0,360.0,57.6,0.0,0.0,417.6,417.6,0.0
2820,3717,COMPRA,1.0,702.0,112.32,0.0,0.0,814.3199999999999,814.32,0.0
2821,100529,G VTA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2822,100530,G VTA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2823,79172,COMPRA,1.0,2288.0,366.08,0.0,0.0,2654.08,2654.08,0.0
2824,3910,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2825,1401249680,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2826,22020100028311,G FINA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2827,39384514,G FINA,1.0,56.86,9.1,0.0,0.0,65.96,65.96,0.0
2828,39408792,G FINA,1.0,103.22,16.51,0.0,0.0,119.73,119.73,0.0
2829,4270,COMPRA,1.0,405.16,64.83,0.0,0.0,469.99,469.99,0.0
2830,73656,COMPRA,1.0,160.0,25.6,0.0,0.0,185.6,185.6,0.0
2831,30869,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2832,34159615,G VTA,1.0,120.75,19.32,0.0,3.34,136.73,136.73,0.0
2833,1220,COMPRA,1.0,94.83,15.17,0.0,0.0,110.0,110.0,0.0
2834,2119,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2835,2546,G VTA,1.0,11764.07,1882.25,0.0,705.84,12940.48,12940.48,0.0
2836,28167,COMPRA,21.0345,444.69,71.15,0.0,0.0,515.84,515.84,0.0
2837,6928,COMPRA,1.0,142.5,22.8,0.0,0.0,165.3,165.3,0.0
2838,3780414,G VTA,1.0,0.0,0.0,0.0,0.0,0.0,1537.1,1537.1
2839,3780415,G VTA,1.0,0.0,0.0,0.0,0.0,0.0,3616.6,3616.6
2840,3780418,G VTA,1.0,0.0,0.0,0.0,0.0,0.0,126.75,126.75
2841,16486,G VTA,1.0,343.97,55.03,0.0,0.0,399.0,399.0,0.0
2842,1651,G VTA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2843,3961,G ADMON,1.0,15417.75,2466.84,0.0,925.07,16959.52,16959.52,0.0
2844,170,COMPRA,1.0,2000.0,320.0,0.0,0.0,2320.0,2320.0,0.0
2845,1590,G ADMON,1.0,5000.0,800.0,500.0,533.34,4766.66,4766.66,0.0
2846,2721,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2847,2722,COMPRA,1.0,5700.0,912.0,0.0,0.0,6612.0,6612.0,0.0
2848,35832,G VTA,1.0,591.68,91.98,0.0,0.0,683.66,683.66,0.0
2849,99377,G VTA,1.0,1511.85,241.89,0.0,16.02,1737.7199999999998,1737.72,0.0
2850,39441151,G FINA,1.0,103.92,16.63,0.0,0.0,120.55,120.55,0.0
2851,,COMPRA,1.0,2200.0,352.0,0.0,0.0,2552.0,2552.0,0.0
2852,36608,COMPRA,1.0,690.0,110.4,0.0,0.0,800.4,800.4,0.0
2853,829,COMPRA,1.0,394.82,63.17,0.0,0.0,457.99,457.99,0.0
2854,40,G ADMON,1.0,9600.0,1536.0,0.0,0.0,11136.0,11136.0,0.0
2855,452,G VTA,1.0,21286.37,3405.82,0.0,1277.18,23415.01,23415.01,0.0
2856,2738,COMPRA,1.0,1537.92,246.07,0.0,0.0,1783.99,1783.99,0.0
2857,42256,G VTA,1.0,1586.2099999999998,253.79,0.0,0.0,1839.9999999999998,1840.0,0.0
2858,501962,G ADMON,1.0,338.0,54.08,0.0,0.0,392.08,392.08,0.0
2859,3720,COMPRA,1.0,384.5,61.52,0.0,0.0,446.02,446.02,0.0
2860,3721,COMPRA,1.0,145.5,23.28,0.0,0.0,168.78,168.78,0.0
2861,15140,G ADMON,1.0,2800.0,0.0,0.0,0.0,2800.0,2800.0,0.0
2862,11627122,G ADMON,1.0,279.1,44.66,0.0,0.0,323.76,323.76,0.0
2863,5084,COMPRA,1.0,726.42,116.23,0.0,0.0,842.65,842.65,0.0
2864,39447400,G FINA,1.0,116.15,18.58,0.0,0.0,134.73000000000002,134.73,0.0
2865,17809730,G ADMON,1.0,1207.46,193.19,0.0,0.0,1400.65,1400.65,0.0
2866,79364,COMPRA,1.0,1210.4,193.66,0.0,0.0,1404.0600000000002,1404.06,0.0
2867,3781831,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,1009.2,1009.2
2868,3781832,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,2411.8,2411.8
2869,815838,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,-229.0,-229.0
2870,446,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2871,68011,COMPRA,1.0,2560.0,409.6,0.0,0.0,2969.6,2969.6,0.0
2872,30952,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2873,3850,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2874,19445,G VTA,1.0,865.57,134.43,0.0,0.0,1000.0,1000.0,0.0
2875,31372,G ADMON,1.0,4449.6,711.94,0.0,0.0,5161.540000000001,5161.54,0.0
2876,375,G ADMON,1.0,6660.0,1065.6,666.0,710.4,6349.200000000001,6349.2,0.0
2877,25781,G VTA,1.0,605.98,94.02,0.0,0.0,700.0,700.0,0.0
2878,41949,COMPRA,1.0,928.0,148.48,0.0,0.0,1076.48,1076.48,0.0
2879,39489449,G FINA,1.0,286.34,45.82,0.0,0.0,332.15999999999997,332.16,0.0
2880,34257690,G VTA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2881,1246,COMPRA,1.0,86.21,13.79,0.0,0.0,100.0,100.0,0.0
2882,367796,G ADMON,1.0,20.7,3.32,0.0,0.0,24.02,24.02,0.0
2883,6872,G ADMON,1.0,6746.46,1079.54,0.0,0.0,7826.0,7826.0,0.0
2884,140,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2885,46468,COMPRA,1.0,317.17,50.75,0.0,0.0,367.92,367.92,0.0
2886,436310,COMPRA,1.0,108.0,0.0,0.0,0.0,108.0,108.0,0.0
2887,181454,G ADMON,1.0,7500.0,1200.0,0.0,0.0,8700.0,8700.0,0.0
2888,39522750,G FINA,1.0,80.72,12.92,0.0,0.0,93.64,93.64,0.0
2889,38062,G ADMON,1.0,950.0,0.0,0.0,0.0,950.0,950.0,0.0
2890,90106833,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2891,133513,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,487.1,487.1
2892,2775,COMPRA,1.0,5595.0,895.2,0.0,0.0,6490.2,6490.2,0.0
2893,4607,G VTA,1.0,56867.44,9098.79,0.0,0.0,65966.23000000001,65966.23,0.0
2894,23559932,G VTA,1.0,57.45,9.19,0.0,0.0,66.64,66.64,0.0
2895,70,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2896,2009173,COMPRA,1.0,2661.66,425.87,0.0,0.0,3087.5299999999997,3087.53,0.0
2897,3631,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2898,39539479,G FINA,1.0,193.12,30.9,0.0,0.0,224.02,224.02,0.0
2899,4027,G VTA,1.0,732.75,117.25,0.0,0.0,850.0,850.0,0.0
2900,124350,COMPRA,1.0,910.35,145.66,0.0,0.0,1056.01,1056.01,0.0
2901,4373,COMPRA,1.0,1600.0,256.0,0.0,0.0,1856.0,1856.0,0.0
2902,3730,COMPRA,1.0,1747.4,279.58,0.0,0.0,2026.98,2026.98,0.0
2903,2565,G VTA,1.0,11764.07,1882.25,0.0,705.84,12940.48,12940.48,0.0
2904,3970,G ADMON,1.0,15285.1,2445.62,0.0,917.11,16813.61,16813.61,0.0
2905,6887,G ADMON,1.0,481.89,77.11,0.0,0.0,559.0,559.0,0.0
2906,3680007792,COMPRA,1.0,179.28,28.68,0.0,0.0,207.96,207.96,0.0
2907,99681,G VTA,1.0,1603.91,256.63,0.0,0.0,1860.54,1860.54,0.0
2908,39563665,G FINA,1.0,138.22,22.12,0.0,0.0,160.34,160.34,0.0
2909,684664,G VTA,1.0,263.22,42.12,0.0,0.0,305.34000000000003,305.34,0.0
2910,,G ADMON,1.0,232.90000000000003,37.26,0.0,0.0,270.16,270.16,0.0
2911,461,G VTA,1.0,20544.7,3287.15,0.0,1232.68,22599.170000000002,22599.17,0.0
2912,68237,COMPRA,1.0,1512.5,242.0,0.0,0.0,1754.5,1754.5,0.0
2913,000005296268,COMPRA,1.0,120.0,19.2,0.0,0.0,139.2,139.2,0.0
2914,3735,COMPRA,1.0,340.0,54.4,0.0,0.0,394.4,394.4,0.0
2915,3738,COMPRA,1.0,430.0,68.8,0.0,0.0,498.8,498.8,0.0
2916,857,G ADMON,1.0,1600.0,256.0,0.0,0.0,1856.0,1856.0,0.0
2917,21198,COMPRA,1.0,124.23,19.88,0.0,0.0,144.11,144.11,0.0
2918,3787806,G VTA,1.0,0.0,0.0,0.0,0.0,0.0,99.9,99.9
2919,3757,G VTA,1.0,1067.0,170.72,0.0,0.0,1237.72,1237.72,0.0
2920,51,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2921,69706,COMPRA,1.0,21560.0,3449.6,0.0,0.0,25009.6,25009.6,0.0
2922,19,G ADMON,1.0,28000.0,4480.0,2800.0,2986.68,26693.32,26693.32,0.0
2923,238,G ADMON,1.0,6000.0,960.0,0.0,0.0,6960.0,6960.0,0.0
2924,77100,COMPRA,1.0,1573.43,251.75,0.0,0.0,1825.18,1825.18,0.0
2925,198940,COMPRA,1.0,168.19,26.91,0.0,0.0,195.1,195.1,0.0
2926,39597572,G FINA,1.0,35.83,5.73,0.0,0.0,41.56,41.56,0.0
2927,25433,COMPRA,1.0,2397.5,383.6,0.0,0.0,2781.1,2781.1,0.0
2928,10532,COMPRA,1.0,2054.0,328.64,0.0,0.0,2382.64,2382.64,0.0
2929,57,COMPRA,1.0,17241.38,2758.62,0.0,0.0,20000.0,20000.0,0.0
2930,79880,COMPRA,1.0,2402.0,384.32,0.0,0.0,2786.32,2786.32,0.0
2931,3788628,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,255.0,255.0
2932,3789118,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,161.45,161.45
2933,3789120,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,464.9,464.9
2934,2521,COMPRA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2935,,G ADMON,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
