,Folio,FP,TC,Importe,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
86,8569,99.0,1.0,560.35,89.66,0.0,0.0,650.01,650.01
87,74,3.0,1.0,,,,,,
88,244213,3.0,1.0,1058.32,169.33,0.0,0.0,1227.6499999999999,1227.65
89,34198,99.0,1.0,,,0.0,0.0,,
90,,99.0,1.0,,,,,10408.32,10408.32
91,573890,1.0,1.0,220.0,0.0,0.0,0.0,220.0,220.0
92,11121992,3.0,1.0,948.0,0.0,0.0,0.0,948.0,948.0
93,,3.0,1.0,3750.0,600.0,0.0,0.0,4350.0,4350.0
94,1680,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,37332,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,44863938,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,4573,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2883,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,52470,1.0,1.0,347.82,55.65,0.0,0.0,403.46999999999997,403.47
100,9000,99.0,1.0,2000.0,320.0,0.0,0.0,2320.0,2320.0
101,6734,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,7294,99.0,1.0,6324.0,1011.84,0.0,0.0,7335.84,7335.84
103,1201,3.0,1.0,1241.38,198.62,0.0,0.0,1440.0,1440.0
104,178363,1.0,1.0,224.14,35.86,0.0,0.0,260.0,260.0
105,7058,99.0,1.0,7695.0,,0.0,0.0,8926.2,8926.2
106,93056,1.0,1.0,170.69,27.31,0.0,0.0,198.0,198.0
107,6814,99.0,1.0,2800.0,448.0,0.0,0.0,3248.0,3248.0
108,155216,99.0,1.0,,,0.0,0.0,,
109,2108,99.0,1.0,944.0,151.04,0.0,0.0,1095.04,1095.04
110,75911,99.0,1.0,3448.0,551.68,0.0,0.0,3999.68,3999.68
111,5362,1.0,1.0,116.38,18.62,0.0,0.0,135.0,135.0
112,244317,1.0,1.0,198.51,31.76,0.0,0.0,230.26999999999998,230.27
113,91211,99.0,1.0,,,0.0,0.0,,
114,16772,3.0,1.0,,0.0,0.0,0.0,,
115,1955427,3.0,1.0,,48.0,0.0,0.0,10348.0,10348.0
116,67504,3.0,1.0,810.0,129.6,0.0,0.0,939.6,939.6
117,75925,99.0,1.0,,,0.0,0.0,,
118,3548,3.0,1.0,1944.01,311.05,0.0,0.0,2255.06,2255.06
119,29238,99.0,1.0,443.74,71.0,0.0,0.0,514.74,514.74
120,4835,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,166109,1.0,1.0,86.9,13.9,0.0,0.0,100.80000000000001,100.8
122,155375,99.0,1.0,,,0.0,0.0,,
123,6560,1.0,1.0,288.79,46.21,,0.0,331.39,331.39
124,931,99.0,1.0,,,0.0,0.0,,
125,,3.0,1.0,1690.61,270.5,0.0,0.0,1961.11,1961.11
126,75943,99.0,1.0,1600.0,256.0,0.0,0.0,1856.0,1856.0
127,124,1.0,1.0,189.66,30.34,0.0,0.0,220.0,220.0
128,140424,99.0,1.0,2296.37,367.42,0.0,,2649.3,2649.3
129,1031,3.0,1.0,2556.1,408.98,0.0,0.0,2965.08,2965.08
130,2480,99.0,1.0,,,0.0,0.0,,
131,11254684,3.0,1.0,3008.0,0.0,0.0,0.0,3008.0,3008.0
132,1698,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
133,75951,99.0,1.0,,,0.0,0.0,,
134,777,3.0,1.0,280.0,44.8,0.0,0.0,324.8,324.8
135,087055,3.0,1.0,633.6,101.38,0.0,0.0,734.98,734.98
136,44284,3.0,1.0,951.83,152.29,0.0,0.0,1104.1200000000001,1104.12
137,155565,99.0,1.0,,,0.0,0.0,,
138,4660309,4.0,1.0,2086.97,55.03,0.0,0.0,2142.0,2142.0
139,003710181,99.0,1.0,247.9,39.66,0.0,0.0,287.56,287.56
140,59539,99.0,1.0,329.31,52.69,0.0,0.0,382.0,382.0
141,202212-E2341533107-16012023-303989,3.0,1.0,,0.0,0.0,0.0,,
142,528740,4.0,1.0,1223.91,190.17,0.0,0.0,1414.0800000000002,1414.08
143,91328,99.0,1.0,3700.0,592.0,0.0,0.0,4292.0,4292.0
144,71151,3.0,1.0,98.28,15.72,0.0,0.0,114.0,114.0
145,4584,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146,174669,99.0,1.0,1820.0,291.2,0.0,0.0,2111.2,2111.2
147,16301,1.0,1.0,469.83,75.17,0.0,0.0,545.0,545.0
148,1246,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
149,1183516,3.0,1.0,2887.0,461.92,0.0,0.0,3348.92,3348.92
150,16,3.0,1.0,1485.0,237.6,0.0,0.0,1722.6,1722.6
151,6863,99.0,1.0,3800.14,608.02,0.0,0.0,4408.16,4408.16
152,6864,99.0,1.0,620.0,99.2,0.0,0.0,719.2,719.2
153,22822,1.0,1.0,539.23,86.28,0.0,0.0,625.51,625.51
154,359332,3.0,1.0,522.47,83.6,0.0,0.0,606.07,606.07
155,8608,99.0,1.0,560.35,89.66,0.0,0.0,650.01,650.01
156,AP37740,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
157,7087,99.0,1.0,7741.17,,0.0,0.0,8979.76,8979.76
158,91461,99.0,1.0,190.0,30.4,0.0,0.0,220.4,220.4
159,16933,3.0,1.0,,0.0,0.0,0.0,,
160,1912,3.0,1.0,4284.0,685.44,0.0,0.0,4969.4400000000005,4969.44
161,8811090280022099,99.0,1.0,2250.0,360.0,0.0,0.0,2610.0,2610.0
162,155827,99.0,1.0,,,0.0,0.0,,
163,24116,99.0,1.0,343.97,55.03,0.0,0.0,399.0,399.0
164,202300036,4.0,1.0,306.5,49.04,0.0,0.0,355.54,355.54
165,59599,99.0,1.0,2882.65,461.22,0.0,0.0,3343.87,3343.87
166,75989,99.0,1.0,6720.0,1075.2,0.0,0.0,7795.2,7795.2
167,34323,99.0,1.0,7800.0,,0.0,0.0,9048.0,9048.0
168,2,3.0,1.0,4500.0,720.0,0.0,0.0,5220.0,5220.0
169,3670,3.0,1.0,2166.87,346.69,0.0,0.0,2513.56,2513.56
170,35556,1.0,1.0,626.9,100.31,0.0,0.0,727.21,727.21
171,29494,99.0,1.0,1009.01,161.44,0.0,0.0,1170.45,1170.45
172,29495,99.0,1.0,185.45,29.67,0.0,0.0,215.12,215.12
173,5326,1.0,1.0,413.79,66.21,0.0,0.0,480.0,480.0
174,14,1.0,1.0,91.38,14.62,0.0,0.0,106.0,106.0
175,13684,3.0,1.0,,,0.0,0.0,,
176,67818,99.0,1.0,575.0,92.0,0.0,0.0,667.0,667.0
177,AP37827,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
178,140984,99.0,1.0,1506.88,241.1,0.0,0.0,1747.98,1747.98
179,244860,3.0,1.0,4669.56,747.13,0.0,0.0,5416.6900000000005,5416.69
180,244893,3.0,1.0,1278.7,204.59,0.0,0.0,1483.29,1483.29
181,122232,3.0,1.0,,,0.0,0.0,,
182,58229526,99.0,1.0,166.48,26.63,0.0,,188.39,188.39
183,4601,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
184,2924,99.0,1.0,5850.0,936.0,0.0,0.0,6786.0,6786.0
185,3416,99.0,1.0,301.0,48.16,0.0,0.0,349.15999999999997,349.16
186,11350761,3.0,1.0,6419.38,0.0,0.0,0.0,6419.38,6419.38
187,977,99.0,1.0,5500.0,880.0,0.0,0.0,6380.0,6380.0
188,1945,99.0,1.0,330.0,52.8,0.0,0.0,382.8,382.8
189,1711,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
190,1713,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
191,,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
192,4668864,4.0,1.0,4362.219999999999,216.96,0.0,0.0,4579.179999999999,4579.18
193,230129-000380176190,99.0,1.0,2173.72,347.86,0.0,0.0,2521.58,2521.58
194,8,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
195,7218,99.0,1.0,1600.0,256.0,0.0,0.0,1856.0,1856.0
196,7317,99.0,1.0,2223.0,355.68,0.0,0.0,2578.68,2578.68
197,4443,31.0,1.0,126.34,20.21,0.0,0.0,146.55,146.55
198,4148,99.0,1.0,8400.0,,0.0,0.0,9744.0,9744.0
199,2325,99.0,1.0,-944.0,-151.04,0.0,0.0,-1095.04,-1095.04
200,2327,99.0,1.0,-944.0,-151.04,0.0,0.0,-1095.04,-1095.04
201,AP37906,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202,10058,99.0,1.0,2003.0,320.48,0.0,0.0,2323.48,2323.48
203,000013015,3.0,1.0,120.0,19.2,0.0,0.0,139.2,139.2
204,29651,99.0,1.0,3344.0,535.04,0.0,0.0,3879.04,3879.04
205,MAT_2611_00001,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
206,693,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
207,75,3.0,1.0,,,,,,
208,129,1.0,1.0,189.66,30.34,0.0,0.0,220.0,220.0
209,000013085,3.0,1.0,10.0,1.6,0.0,0.0,11.6,11.6
210,81006,1.0,1.0,241.5,38.64,0.0,0.0,280.14,280.14
211,873147,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
212,1092957089,3.0,1.0,,742.09,0.0,0.0,,
213,003731914,99.0,1.0,288.61,46.18,0.0,0.0,334.79,334.79
214,1437823,5.0,1.0,,0.0,0.0,0.0,,
215,91097,3.0,1.0,700.0,112.0,0.0,0.0,812.0,812.0
216,25,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
217,17340,3.0,1.0,,0.0,0.0,0.0,,
218,346612,99.0,1.0,5551.38,888.22,0.0,0.0,6439.6,6439.6
219,346613,99.0,1.0,5551.98,888.32,0.0,0.0,6440.299999999999,6440.3
220,346806,99.0,1.0,8454.37,,0.0,0.0,9807.070000000002,9807.07
221,0001010100750847116902,3.0,1.0,505.0,80.8,0.0,0.0,585.8,585.8
222,007817297284,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
223,4620,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
224,3883,99.0,1.0,744.56,119.13,0.0,0.0,863.6899999999999,863.69
225,151063,1.0,1.0,82.5,13.2,0.0,0.0,95.7,95.7
226,1582,1.0,1.0,1079.31,172.69,0.0,0.0,1252.0,1252.0
227,1583,1.0,1.0,270.69,43.31,0.0,0.0,314.0,314.0
228,151696,1.0,1.0,417.66,66.83,0.0,0.0,484.49,484.49
229,81670,1.0,1.0,135.34,21.66,0.0,0.0,157.0,157.0
230,0051458747,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
231,3988,3.0,1.0,2062.89,330.06,0.0,0.0,2392.95,2392.95
232,29777,99.0,1.0,1682.83,269.25,0.0,0.0,1952.08,1952.08
233,58500060,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
234,156414,99.0,1.0,,,0.0,0.0,,
235,4677594,1.0,1.0,478.0,0.0,0.0,0.0,478.0,478.0
236,3006,1.0,1.0,323.28,51.72,0.0,0.0,375.0,375.0
237,1723,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
238,1732,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
239,1584,1.0,1.0,321.55,51.45,0.0,0.0,373.0,373.0
240,76055,99.0,1.0,,,0.0,0.0,,
241,1275,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
242,1297,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
243,141431,99.0,1.0,2772.69,443.63,0.0,0.0,3216.32,3216.32
244,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
245,91714609,3.0,1.0,1717.25,0.0,0.0,0.0,1717.25,1717.25
246,135961,3.0,1.0,5226.53,836.24,0.0,0.0,6062.7699999999995,6062.77
247,81322,1.0,1.0,234.62,37.54,0.0,0.0,272.16,272.16
248,91664,99.0,1.0,9021.0,,0.0,0.0,10464.36,10464.36
249,7239,99.0,1.0,3000.0,480.0,0.0,0.0,3480.0,3480.0
250,1851,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
251,205544,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
252,205545,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
253,205707,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
254,156496,99.0,1.0,,,0.0,0.0,,
255,11330,3.0,1.0,164.24,26.28,0.0,0.0,190.52,190.52
256,2807,3.0,1.0,4396.55,703.45,0.0,0.0,5100.0,5100.0
257,,99.0,1.0,2505.5499999999997,382.48,0.0,0.0,2888.0299999999997,2888.03
258,420230101898904,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
259,420230101898904,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
260,22023010028311,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
261,91854468,3.0,1.0,1762.25,0.0,0.0,0.0,1762.25,1762.25
262,,1.0,1.0,187.93,30.07,0.0,0.0,218.0,218.0
263,13254,3.0,1.0,428.0,68.48,0.0,0.0,496.48,496.48
264,21041838,3.0,1.0,1452.0,232.32,0.0,0.0,1684.32,1684.32
265,1998,3.0,1.0,2914.0,466.24,0.0,0.0,3380.24,3380.24
266,4583,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
267,13004204,3.0,1.0,1827.6,292.42,0.0,0.0,2120.02,2120.02
268,76077,99.0,1.0,,,0.0,0.0,,
269,15549,3.0,1.0,335.0,53.6,0.0,0.0,388.6,388.6
270,24242,99.0,1.0,343.97,55.03,0.0,0.0,399.0,399.0
271,174811,99.0,1.0,2994.0,479.04,0.0,0.0,3473.04,3473.04
272,843739,1.0,1.0,397.2,63.55,0.0,0.0,460.75,460.75
273,6587,1.0,1.0,241.0,38.56,,0.0,276.55,276.55
274,43,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
275,91801,99.0,1.0,5884.0,941.44,0.0,0.0,6825.4400000000005,6825.44
276,18806,3.0,1.0,377.0,60.32,0.0,0.0,437.32,437.32
277,969491,1.0,1.0,83.62,13.38,0.0,0.0,97.0,97.0
278,2671,99.0,1.0,350.0,0.0,0.0,0.0,350.0,350.0
279,261,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
280,17489,3.0,1.0,,0.0,0.0,0.0,,
281,156829,99.0,1.0,8394.04,,0.0,0.0,9737.09,9737.09
282,76117,99.0,1.0,,,0.0,0.0,,
283,1317,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
284,141773,99.0,1.0,2111.39,337.82,0.0,0.0,2449.21,2449.21
285,4113,3.0,1.0,2187.32,349.97,0.0,0.0,2537.29,2537.29
286,30022,99.0,1.0,3072.96,491.67,0.0,0.0,3564.63,3564.63
287,7118,99.0,1.0,7695.0,,0.0,0.0,8926.2,8926.2
288,91853,99.0,1.0,360.0,57.6,0.0,0.0,417.6,417.6
289,96269,1.0,1.0,656.03,104.96,0.0,0.0,760.99,760.99
290,13795,3.0,1.0,,,0.0,0.0,,
291,174829,99.0,1.0,,,0.0,0.0,,
292,22799,1.0,1.0,79.31,12.69,0.0,0.0,92.0,92.0
293,245680,1.0,1.0,1563.89,250.22,0.0,0.0,1814.1100000000001,1814.11
294,501760,1.0,1.0,264.0,0.0,0.0,0.0,264.0,264.0
295,23301,1.0,1.0,114.74,18.36,0.0,0.0,133.1,133.1
296,1981295,3.0,1.0,,48.0,0.0,0.0,10348.0,10348.0
297,44957121,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
298,2042,3.0,1.0,1809.0,289.44,0.0,0.0,2098.44,2098.44
299,4644,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
300,135,1.0,1.0,379.31,60.69,0.0,0.0,440.0,440.0
301,3792,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
302,7546,1.0,1.0,231.9,37.1,0.0,0.0,269.0,269.0
303,96370,1.0,1.0,84.48,13.52,0.0,0.0,98.0,98.0
304,23806,28.0,1.0,140.52,22.48,0.0,0.0,163.0,163.0
305,19220,1.0,1.0,458.02,73.28,0.0,0.0,531.3,531.3
306,1407,3.0,1.0,1450.0,232.0,0.0,0.0,1682.0,1682.0
307,92008,99.0,1.0,,,0.0,0.0,,
308,979579,1.0,1.0,85.34,13.66,0.0,0.0,99.0,99.0
309,17822,3.0,1.0,,0.0,0.0,0.0,,
310,3898,99.0,1.0,741.16,118.59,0.0,0.0,859.75,859.75
311,9179,99.0,1.0,2000.0,320.0,0.0,0.0,2320.0,2320.0
312,76,3.0,1.0,,,,,,
313,34584,99.0,1.0,5373.5,859.76,0.0,0.0,6233.26,6233.26
314,4401,3.0,1.0,2292.01,366.72,0.0,0.0,2658.7300000000005,2658.73
315,30235,99.0,1.0,2065.8,330.53,0.0,0.0,2396.33,2396.33
316,6970,99.0,1.0,5490.76,878.52,0.0,0.0,6369.280000000001,6369.28
317,157378,99.0,1.0,,,0.0,0.0,,
318,0098856175,3.0,1.0,1471.0,235.36,0.0,0.0,1706.3600000000001,1706.36
319,4692844,4.0,1.0,1268.9,0.0,0.0,0.0,1268.9,1268.9
320,4692854,4.0,1.0,356.5,0.0,0.0,0.0,356.5,356.5
321,1764,28.0,1.0,1164.14,186.26,0.0,0.0,1350.4,1350.4
322,7366,99.0,1.0,6324.0,1011.84,0.0,0.0,7335.84,7335.84
323,7367,99.0,1.0,2394.0,383.04,0.0,0.0,2777.04,2777.04
324,8705,99.0,1.0,560.35,89.66,0.0,0.0,650.01,650.01
325,142210,99.0,1.0,1024.31,163.89,0.0,0.0,1188.1999999999998,1188.2
326,245950,3.0,1.0,2778.59,444.57,0.0,0.0,3223.1600000000003,3223.16
327,,99.0,1.0,,,,,10408.32,10408.32
328,30310,99.0,1.0,2706.19,432.96,0.0,0.0,3139.15,3139.15
329,1740,99.0,1.0,320.0,51.2,0.0,0.0,371.2,371.2
330,4656,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
331,4693896,4.0,1.0,475.28000000000003,56.37,0.0,0.0,531.65,531.65
332,19228,3.0,1.0,1540.0,246.4,0.0,0.0,1786.4,1786.4
333,60012,99.0,1.0,1986.92,317.91,0.0,0.0,2304.83,2304.83
334,7370,99.0,1.0,1100.0,176.0,0.0,0.0,1276.0,1276.0
335,4695015,4.0,1.0,2053.4900000000002,76.19,0.0,0.0,2129.6800000000003,2129.68
336,11609429,3.0,1.0,3217.0,0.0,0.0,0.0,3217.0,3217.0
337,1755,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
338,,3.0,1.0,1643.63,262.98,0.0,0.0,1906.6100000000001,1906.61
339,137,1.0,1.0,56.03,8.97,0.0,0.0,65.0,65.0
340,60853,1.0,1.0,650.0,104.0,0.0,0.0,754.0,754.0
341,30415,99.0,1.0,3974.23,635.89,0.0,0.0,4610.12,4610.12
342,157692,99.0,1.0,4464.39,714.3,0.0,0.0,5178.6900000000005,5178.69
343,,3.0,1.0,3750.0,600.0,0.0,0.0,4350.0,4350.0
344,1777,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
345,76207,99.0,1.0,,,0.0,0.0,,
346,76208,99.0,1.0,2850.0,456.0,0.0,0.0,3306.0,3306.0
347,34646,99.0,1.0,8400.0,,0.0,0.0,9744.0,9744.0
348,81969,1.0,1.0,87.93,14.07,0.0,0.0,102.0,102.0
349,81978,1.0,1.0,342.67,54.83,0.0,0.0,397.5,397.5
350,13662,3.0,1.0,8040.23,,0.0,0.0,9326.67,9326.67
351,92248,99.0,1.0,1680.0,268.8,0.0,0.0,1948.8,1948.8
352,18013,3.0,1.0,,0.0,0.0,0.0,,
353,7002,99.0,1.0,1889.8,302.37,0.0,0.0,2192.17,2192.17
354,4554,3.0,1.0,2309.43,369.51,0.0,0.0,2678.9399999999996,2678.94
355,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
356,210167,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
357,2439068,1.0,1.0,62.07,9.93,0.0,0.0,72.0,72.0
358,23636,1.0,1.0,539.23,86.28,0.0,0.0,625.51,625.51
359,9137,28.0,1.0,273.28,43.72,0.0,0.0,317.0,317.0
360,328500,1.0,1.0,214.66,34.35,0.0,0.0,249.01,249.01
361,5504076496,99.0,1.0,785.0,125.6,0.0,0.0,910.6,910.6
362,4182430,1.0,1.0,295.04,47.21,0.0,0.0,342.25,342.25
363,142602,99.0,1.0,1968.79,315.01,0.0,0.0,2283.8,2283.8
364,83387,1.0,1.0,289.8,46.37,0.0,0.0,336.17,336.17
365,52101,3.0,1.0,2887.0,461.92,0.0,0.0,3348.92,3348.92
366,7297,99.0,1.0,5000.0,800.0,0.0,0.0,5800.0,5800.0
367,21131682,3.0,1.0,1171.92,187.51,0.0,0.0,1359.43,1359.43
368,MAT_2651_00001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
369,12051,1.0,1.0,980.0,156.8,0.0,0.0,1136.8,1136.8
370,230058,1.0,1.0,335.0,53.6,0.0,0.0,388.6,388.6
371,AP38805,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
372,8811090280022099,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
373,157866,99.0,1.0,,,0.0,0.0,,
374,27254546,28.0,1.0,344.82,55.17,0.0,0.0,399.99,399.99
375,2124,3.0,1.0,3265.0,522.4,0.0,0.0,3787.4,3787.4
376,174955,99.0,1.0,,,0.0,0.0,,
377,8730,99.0,1.0,560.35,89.66,0.0,0.0,650.01,650.01
378,68946,99.0,1.0,1005.0,160.8,0.0,0.0,1165.8,1165.8
379,68947,99.0,1.0,185.0,29.6,0.0,0.0,214.6,214.6
380,000013553,3.0,1.0,135.0,21.6,0.0,0.0,156.6,156.6
381,7183,99.0,1.0,7200.05,,0.0,0.0,8352.06,8352.06
382,63582,3.0,1.0,2887.0,461.92,0.0,0.0,3348.92,3348.92
383,,3.0,1.0,5858.99,937.44,0.0,0.0,6796.43,6796.43
384,122207,1.0,1.0,780.0,124.8,0.0,0.0,904.8,904.8
385,84289,3.0,1.0,2381.38,381.02,0.0,0.0,2762.4,2762.4
